url_length,hostname_length,path_length,num_subdomains,num_dots,num_special_chars,num_digits,num_uppercase_chars,has_at_symbol,has_double_slash_redirect,has_dash_in_domain,is_ip_address,ip_category,has_encoded_chars,has_non_ascii_chars,url_entropy,hostname_entropy,digit_to_letter_ratio,domain_quality,tld_length,subdomain_entropy,subdomain_length,has_login_keyword,has_suspicious_words,has_brand_mismatch,file_type,is_file_download,is_script_file,is_shortened,num_fragments,num_query_params,num_directories,port,is_risky_port,protocol_mismatch,is_unknown_port,contains_hex_encoding,starts_with_https_but_contains_http,missing_hostname_flag,url,label,pattern
62,32,11,0,0,3,0,0,False,0,False,0,none,False,False,4.341079077026475,3.765319531114783,0.0,no_tld,0,0.0,0,0,0,0,none,0,0,0,0,0,1,-1,0,0,0,0,0,0,chrome-extension://gighmmpiobklfepjocnamgkkbiglidom/popup.html,0,chrome_extension
65,32,14,0,0,3,0,0,False,0,False,0,none,False,False,4.413085367888027,3.765319531114783,0.0,no_tld,0,0.0,0,0,0,0,script,0,1,0,0,0,1,-1,0,0,0,0,0,0,chrome-extension://gighmmpiobklfepjocnamgkkbiglidom/background.js,0,chrome_extension
64,32,13,0,0,3,0,0,False,0,False,0,none,False,False,4.293744383186907,3.765319531114783,0.0,no_tld,0,0.0,0,0,0,0,none,0,0,0,0,0,1,-1,0,0,0,0,0,0,chrome-extension://gighmmpiobklfepjocnamgkkbiglidom/options.html,0,chrome_extension
62,32,11,0,0,3,0,0,False,0,False,0,none,False,False,4.325682005375132,3.765319531114783,0.0,no_tld,0,0.0,0,0,0,0,script,0,1,0,0,0,1,-1,0,0,0,0,0,0,chrome-extension://gighmmpiobklfepjocnamgkkbiglidom/content.js,0,chrome_extension
62,32,11,0,0,3,0,0,False,0,False,0,none,False,False,4.385512746416207,3.8042292966721747,0.0,no_tld,0,0.0,0,0,0,0,none,0,0,0,0,0,1,-1,0,0,0,0,0,0,chrome-extension://cjpalhdlnbpafiamejdnhcphjbkeiagm/popup.html,0,chrome_extension
65,32,14,0,0,3,0,0,False,0,False,0,none,False,False,4.451396521667613,3.8042292966721747,0.0,no_tld,0,0.0,0,0,0,0,script,0,1,0,0,0,1,-1,0,0,0,0,0,0,chrome-extension://cjpalhdlnbpafiamejdnhcphjbkeiagm/background.js,0,chrome_extension
64,32,13,0,0,3,0,0,False,0,False,0,none,False,False,4.365572516654254,3.8042292966721747,0.0,no_tld,0,0.0,0,0,0,0,none,0,0,0,0,0,1,-1,0,0,0,0,0,0,chrome-extension://cjpalhdlnbpafiamejdnhcphjbkeiagm/options.html,0,chrome_extension
62,32,11,0,0,3,0,0,False,0,False,0,none,False,False,4.348569293908896,3.8042292966721747,0.0,no_tld,0,0.0,0,0,0,0,script,0,1,0,0,0,1,-1,0,0,0,0,0,0,chrome-extension://cjpalhdlnbpafiamejdnhcphjbkeiagm/content.js,0,chrome_extension
62,32,11,0,0,3,0,0,False,0,False,0,none,False,False,4.279220964710031,3.6792292966721747,0.0,no_tld,0,0.0,0,0,0,0,none,0,0,0,0,0,1,-1,0,0,0,0,0,0,chrome-extension://bmnlcjabgnpnenekpadlanbbkooimhnj/popup.html,0,chrome_extension
65,32,14,0,0,3,0,0,False,0,False,0,none,False,False,4.312634213842169,3.6792292966721747,0.0,no_tld,0,0.0,0,0,0,0,script,0,1,0,0,0,1,-1,0,0,0,0,0,0,chrome-extension://bmnlcjabgnpnenekpadlanbbkooimhnj/background.js,0,chrome_extension
64,32,13,0,0,3,0,0,False,0,False,0,none,False,False,4.235422609267362,3.6792292966721747,0.0,no_tld,0,0.0,0,0,0,0,none,0,0,0,0,0,1,-1,0,0,0,0,0,0,chrome-extension://bmnlcjabgnpnenekpadlanbbkooimhnj/options.html,0,chrome_extension
62,32,11,0,0,3,0,0,False,0,False,0,none,False,False,4.198260480699485,3.6792292966721747,0.0,no_tld,0,0.0,0,0,0,0,script,0,1,0,0,0,1,-1,0,0,0,0,0,0,chrome-extension://bmnlcjabgnpnenekpadlanbbkooimhnj/content.js,0,chrome_extension
62,32,11,0,0,3,0,0,False,0,False,0,none,False,False,4.242019247186534,3.640319531114783,0.0,no_tld,0,0.0,0,0,0,0,none,0,0,0,0,0,1,-1,0,0,0,0,0,0,chrome-extension://hdokiejnpimakedhajhdlcegeplioahd/popup.html,0,chrome_extension
65,32,14,0,0,3,0,0,False,0,False,0,none,False,False,4.337753107084339,3.640319531114783,0.0,no_tld,0,0.0,0,0,0,0,script,0,1,0,0,0,1,-1,0,0,0,0,0,0,chrome-extension://hdokiejnpimakedhajhdlcegeplioahd/background.js,0,chrome_extension
64,32,13,0,0,3,0,0,False,0,False,0,none,False,False,4.2060937507738325,3.640319531114783,0.0,no_tld,0,0.0,0,0,0,0,none,0,0,0,0,0,1,-1,0,0,0,0,0,0,chrome-extension://hdokiejnpimakedhajhdlcegeplioahd/options.html,0,chrome_extension
62,32,11,0,0,3,0,0,False,0,False,0,none,False,False,4.202529230804169,3.640319531114783,0.0,no_tld,0,0.0,0,0,0,0,script,0,1,0,0,0,1,-1,0,0,0,0,0,0,chrome-extension://hdokiejnpimakedhajhdlcegeplioahd/content.js,0,chrome_extension
62,32,11,0,0,3,0,0,False,0,False,0,none,False,False,4.298628521449872,3.5664280318460246,0.0,no_tld,0,0.0,0,0,0,0,none,0,0,0,0,0,1,-1,0,0,0,0,0,0,chrome-extension://nngceckbapebfimnlniiiahkandclblb/popup.html,0,chrome_extension
