domain,has_A,num_A,has_AAAA,num_AAAA,has_MX,num_MX,has_NS,num_NS,has_TXT,num_TXT,has_CNAME,cname_chain_length,has_SOA,ttl_min,ttl_max,ttl_mean,ttl_var,mx_priority_min,mx_priority_max,num_distinct_ips,asn_list,asn_org_list,asn_country_list,cidr_list,txt_entropy,has_SPF,has_DKIM,has_DMARC,has_wildcard_dns,dnssec_enabled,soa_serial,soa_refresh,soa_retry,soa_expire,soa_minimum,dns_success,error_msg,error_type
neverwinpoker.com,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1.0,-1.0,-1,-1,0,,,,,0.0,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,,
gpsaccounting.com,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1.0,-1.0,-1,-1,0,,,,,0.0,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,,
twitter.com,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1.0,-1.0,-1,-1,0,,,,,0.0,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,,
imdb.com,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1.0,-1.0,-1,-1,0,,,,,0.0,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,,
wapka.me,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1.0,-1.0,-1,-1,0,,,,,0.0,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,,
davis-family.co.uk,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1.0,-1.0,-1,-1,0,,,,,0.0,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,,
hockeyfights.com,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1.0,-1.0,-1,-1,0,,,,,0.0,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,,
ist-world.org,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1.0,-1.0,-1,-1,0,,,,,0.0,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,,
mylife.com,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1.0,-1.0,-1,-1,0,,,,,0.0,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,,
moviefone.com,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1.0,-1.0,-1,-1,0,,,,,0.0,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,,
rl-swaps.com,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1.0,-1.0,-1,-1,0,,,,,0.0,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,,
genealogy.com,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1.0,-1.0,-1,-1,0,,,,,0.0,0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,,
