registrar,whois_server,creation_date,expiration_date,updated_date,domain_age_days,registration_length_days,status,registrant_country,has_privacy_protection,whois_success,error_msg,url,description,expected_label
,,,,,,,,,0,0,Whois command returned no output,chrome-extension://abcdefghijklmnop/popup.html,Chrome Extension,legitimate
,,,,,,,,,0,0,Whois command returned no output,chrome-extension://xyz123/background.js,Chrome Extension Script,legitimate
1API,,2015-03-31 00:00:00,2026-03-31 00:00:00,2025-11-26 10:59:29,3923.0,4018.0,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,,0,1,,https://www.notion.so/workspace/page,Notion,legitimate
"Amazon Registrar, Inc.",whois.registrar.amazon,1999-04-10 04:00:00,2026-04-10 04:00:00,2025-03-06 23:12:19,9757.0,9862.0,"['clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited', 'clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited']",GB,0,1,,https://www.figma.com/file/abc123,Figma,legitimate
Gandi SAS,whois.gandi.net,2001-05-05 00:03:52,2030-05-05 00:03:52,2025-12-14 22:39:30,9001.0,10592.0,"['clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'clientTransferProhibited http://www.icann.org/epp#clientTransferProhibited']",AU,1,1,,https://app.canva.com/design/xyz,Canva,legitimate
"MarkMonitor, Inc.",whois.markmonitor.com,1994-11-01 05:00:00,2026-10-31 04:00:00,2025-07-31 17:49:55,11378.0,11686.0,"['clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited', 'clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited', 'serverDeleteProhibited https://icann.org/epp#serverDeleteProhibited', 'serverTransferProhibited https://icann.org/epp#serverTransferProhibited', 'serverUpdateProhibited https://icann.org/epp#serverUpdateProhibited', 'clientUpdateProhibited (https://www.icann.org/epp#clientUpdateProhibited)', 'clientTransferProhibited (https://www.icann.org/epp#clientTransferProhibited)', 'clientDeleteProhibited (https://www.icann.org/epp#clientDeleteProhibited)', 'serverUpdateProhibited (https://www.icann.org/epp#serverUpdateProhibited)', 'serverTransferProhibited (https://www.icann.org/epp#serverTransferProhibited)', 'serverDeleteProhibited (https://www.icann.org/epp#serverDeleteProhibited)']",US,0,1,,https://console.aws.amazon.com/s3,AWS Console,legitimate
"MarkMonitor, Inc.",whois.markmonitor.com,1994-10-25 04:00:00,2026-10-24 04:00:00,2025-09-22 12:20:12,11382.0,11687.0,"['clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited', 'clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited', 'serverDeleteProhibited https://icann.org/epp#serverDeleteProhibited', 'serverTransferProhibited https://icann.org/epp#serverTransferProhibited', 'serverUpdateProhibited https://icann.org/epp#serverUpdateProhibited', 'clientUpdateProhibited (https://www.icann.org/epp#clientUpdateProhibited)', 'clientTransferProhibited (https://www.icann.org/epp#clientTransferProhibited)', 'clientDeleteProhibited (https://www.icann.org/epp#clientDeleteProhibited)', 'serverUpdateProhibited (https://www.icann.org/epp#serverUpdateProhibited)', 'serverTransferProhibited (https://www.icann.org/epp#serverTransferProhibited)', 'serverDeleteProhibited (https://www.icann.org/epp#serverDeleteProhibited)']",US,0,1,,https://portal.azure.com/resources,Azure Portal,legitimate
"MarkMonitor, Inc.",whois.markmonitor.com,2010-03-19 22:27:58,2031-03-19 22:27:58,2023-02-20 05:17:27,5760.0,7670.0,"['clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited', 'clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited', 'clientUpdateProhibited (https://www.icann.org/epp#clientUpdateProhibited)', 'clientTransferProhibited (https://www.icann.org/epp#clientTransferProhibited)', 'clientDeleteProhibited (https://www.icann.org/epp#clientDeleteProhibited)']",US,0,1,,https://www.npmjs.com/package/react,npm Package,legitimate
"MarkMonitor, Inc.",whois.markmonitor.com,2007-10-09 18:20:50,2026-10-09 18:20:50,2024-09-07 09:16:32,6620.0,6940.0,"['clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited', 'clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited', 'clientUpdateProhibited (https://www.icann.org/epp#clientUpdateProhibited)', 'clientTransferProhibited (https://www.icann.org/epp#clientTransferProhibited)', 'clientDeleteProhibited (https://www.icann.org/epp#clientDeleteProhibited)']",US,0,1,,https://github.com/facebook/react,GitHub Repo,legitimate
,,,,,,,,,0,0,Whois command returned no output,http://localhost:3000/api/users,React Dev Server,legitimate
