url_length,hostname_length,path_length,num_subdomains,num_dots,num_special_chars,num_digits,num_uppercase_chars,has_at_symbol,has_double_slash_redirect,has_dash_in_domain,is_ip_address,ip_category,has_encoded_chars,has_non_ascii_chars,url_entropy,hostname_entropy,digit_to_letter_ratio,domain_quality,tld_length,subdomain_entropy,subdomain_length,has_login_keyword,has_suspicious_words,has_brand_mismatch,file_type,is_file_download,is_script_file,is_shortened,num_fragments,num_query_params,num_directories,port,is_risky_port,protocol_mismatch,is_unknown_port,contains_hex_encoding,starts_with_https_but_contains_http,missing_hostname_flag,url,expected_label,description
46,16,11,0,0,3,0,0,0,0,0,0,0,0,0,4.414441303694972,4.0,0.0,no_tld,0,0.0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,chrome-extension://abcdefghijklmnop/popup.html,legitimate,Chrome Extension
39,6,14,0,0,3,3,0,0,0,0,0,0,0,0,4.59259324428138,2.584962500721156,0.0999999966666667,no_tld,0,0.0,0,0,0,0,0,0,1,0,0,0,1,-1,0,0,0,0,0,0,chrome-extension://xyz123/background.js,legitimate,Chrome Extension Script
36,13,15,0,2,4,0,0,0,0,0,0,0,0,0,3.8847954873731343,2.6612262562697895,0.0,normal,2,0.0,0,0,0,0,0,0,0,0,0,0,2,-1,0,0,0,0,0,0,https://www.notion.so/workspace/page,legitimate,Notion
33,13,12,0,2,4,3,0,0,0,0,0,0,0,0,4.233639952626227,3.0269868333592873,0.1304347769376184,normal,3,0.0,0,0,0,0,0,0,0,0,0,0,2,-1,0,0,0,0,0,0,https://www.figma.com/file/abc123,legitimate,Figma
32,13,11,1,2,4,0,0,0,0,0,0,0,0,0,4.140319531114783,2.873140679513133,0.0,normal,3,0.9182958340544896,3,0,0,0,0,0,0,0,0,0,2,-1,0,0,0,0,0,0,https://app.canva.com/design/xyz,legitimate,Canva
33,22,3,2,3,3,1,0,0,0,0,0,0,0,0,3.884858891889047,3.299896391167891,0.0399999984,normal,3,2.9219280948873623,10,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,https://console.aws.amazon.com/s3,legitimate,AWS Console
34,16,10,1,2,3,0,0,0,0,0,0,0,0,0,3.858802914461594,3.5,0.0,normal,3,2.584962500721156,6,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,https://portal.azure.com/resources,legitimate,Azure Portal
35,13,14,0,2,4,0,0,0,0,0,0,0,0,0,3.9928705166358993,3.0269868333592873,0.0,normal,3,0.0,0,0,0,0,0,0,0,0,0,0,2,-1,0,0,0,0,0,0,https://www.npmjs.com/package/react,legitimate,npm Package
33,10,15,0,1,4,0,0,0,0,0,0,0,0,0,4.028946391954607,3.321928094887362,0.0,normal,3,0.0,0,0,0,0,0,0,0,0,0,0,2,-1,0,0,0,0,0,0,https://github.com/facebook/react,legitimate,GitHub Repo
31,9,10,0,0,4,4,0,0,0,0,0,0,0,0,3.84888461662912,2.725480556997868,0.1904761814058961,no_tld,0,0.0,0,0,0,0,0,0,0,0,0,0,2,3000,0,0,1,0,0,0,http://localhost:3000/api/users,legitimate,React Dev Server
27,9,6,0,3,3,10,0,0,0,0,1,1,0,0,3.7504647066537,2.197159723424149,1.1111109876543348,no_tld,0,0.0,0,0,1,0,0,0,0,0,0,0,1,8000,0,0,1,0,0,0,http://127.0.0.1:8000/admin,legitimate,Django Dev
185,16,12,1,2,16,26,34,0,0,0,0,0,0,0,5.200463507773464,3.202819531114783,0.2063492047115142,normal,3,1.0,2,0,0,0,0,0,0,0,0,6,2,-1,0,0,0,0,0,0,https://s3.amazonaws.com/bucket/file?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=KEY&X-Amz-Date=20231201T120000Z&X-Amz-Expires=3600&X-Amz-SignedHeaders=host&X-Amz-Signature=abc123,legitimate,AWS Presigned URL
26,10,8,0,1,3,0,0,0,0,0,0,0,0,0,3.997952698660692,3.1219280948873624,0.0,normal,2,0.0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,https://example.io/product,legitimate,.io TLD
29,12,9,0,1,3,0,0,0,0,0,0,0,0,0,3.900241770616629,3.084962500721156,0.0,normal,2,0.0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,https://mycompany.ai/platform,legitimate,.ai TLD
25,12,5,0,1,3,0,0,0,0,0,0,0,0,0,3.5328786893420308,2.918295834054489,0.0,normal,3,0.0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,https://devtools.dev/docs,legitimate,.dev TLD
