domain,has_A,num_A,has_AAAA,num_AAAA,has_MX,num_MX,has_NS,num_NS,has_TXT,num_TXT,has_CNAME,cname_chain_length,has_SOA,ttl_min,ttl_max,ttl_mean,ttl_var,mx_priority_min,mx_priority_max,num_distinct_ips,txt_entropy,has_SPF,has_DKIM,has_DMARC,has_wildcard_dns,dnssec_enabled,asn_list,asn_org_list,asn_country_list,cidr_list,error_type,url,label
google.com,1,6,1,4,1,1,1,4,1,12,0,0,1,300,300,300.0,0.0,10,10,10,4.5685196704959425,1,0,0,0,0,"['15169', '15169', '15169', '15169', '15169', '15169', '15169', '15169', '15169', '15169']","['GOOGLE, US', 'GOOGLE, US', 'GOOGLE, US', 'GOOGLE, US', 'GOOGLE, US', 'GOOGLE, US', 'GOOGLE, US', 'GOOGLE, US', 'GOOGLE, US', 'GOOGLE, US']","['US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US']","['142.251.183.0/24', '142.251.183.0/24', '2607:f8b0:4001::/48', '2607:f8b0:4001::/48', '2607:f8b0:4001::/48', '142.251.183.0/24', '142.251.183.0/24', '2607:f8b0:4001::/48', '142.251.183.0/24', '142.251.183.0/24']",-1.0,https://google.com,legitimate
onlineatt783.pory.app,1,2,0,0,0,0,0,0,0,0,0,0,0,1800,1800,1800.0,0.0,-1,-1,2,0.0,0,0,0,1,0,"['16509', '16509']","['AMAZON-02, US', 'AMAZON-02, US']","['US', 'US']","['216.150.1.0/24', '216.150.1.0/24']",-1.0,https://onlineatt783.pory.app/,phishing
www.google.com,1,6,1,4,0,0,0,0,0,0,0,0,0,300,300,300.0,0.0,-1,-1,10,0.0,0,0,0,0,0,"['15169', '15169', '15169', '15169', '15169', '15169', '15169', '15169', '15169', '15169']","['GOOGLE, US', 'GOOGLE, US', 'GOOGLE, US', 'GOOGLE, US', 'GOOGLE, US', 'GOOGLE, US', 'GOOGLE, US', 'GOOGLE, US', 'GOOGLE, US', 'GOOGLE, US']","['US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US']","['2607:f8b0:4001::/48', '74.125.69.0/24', '2607:f8b0:4001::/48', '74.125.69.0/24', '2607:f8b0:4001::/48', '74.125.69.0/24', '74.125.69.0/24', '74.125.69.0/24', '2607:f8b0:4001::/48', '74.125.69.0/24']",-1.0,https://www.google.com,legitimate
ida.boatdealers.su,1,1,0,0,0,0,0,0,0,0,0,0,0,300,300,300.0,0.0,-1,-1,1,0.0,0,0,0,0,0,['131366'],"['LANIT-AS-VN Lanit Technology and Communication Joint Stock Company, VN']",['VN'],['103.146.23.0/24'],-1.0,http://ida.boatdealers.su/mips,phishing
google.com,1,6,1,4,1,1,1,4,1,12,0,0,1,281,281,281.0,0.0,10,10,10,4.5685196704959425,1,0,0,0,0,"['15169', '15169', '15169', '15169', '15169', '15169', '15169', '15169', '15169', '15169']","['GOOGLE, US', 'GOOGLE, US', 'GOOGLE, US', 'GOOGLE, US', 'GOOGLE, US', 'GOOGLE, US', 'GOOGLE, US', 'GOOGLE, US', 'GOOGLE, US', 'GOOGLE, US']","['US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US']","['142.251.183.0/24', '142.251.183.0/24', '2607:f8b0:4001::/48', '2607:f8b0:4001::/48', '2607:f8b0:4001::/48', '142.251.183.0/24', '142.251.183.0/24', '2607:f8b0:4001::/48', '142.251.183.0/24', '142.251.183.0/24']",-1.0,https://google.com/about,legitimate
qrco.de,1,4,0,0,0,0,1,4,1,1,0,0,1,60,60,60.0,0.0,-1,-1,4,5.0251270918749364,0,0,0,0,0,"['16509', '16509', '16509', '16509']","['AMAZON-02, US', 'AMAZON-02, US', 'AMAZON-02, US', 'AMAZON-02, US']","['US', 'US', 'US', 'US']","['3.167.160.0/21', '3.167.160.0/21', '3.167.160.0/21', '3.167.160.0/21']",-1.0,https://qrco.de/bfJ0A4?Yro=vtyClnjSjA?osu=DuRFv2zddh,phishing
google.com,1,6,1,4,1,1,1,4,1,12,0,0,1,270,270,270.0,0.0,10,10,10,4.5685196704959425,1,0,0,0,0,"['15169', '15169', '15169', '15169', '15169', '15169', '15169', '15169', '15169', '15169']","['GOOGLE, US', 'GOOGLE, US', 'GOOGLE, US', 'GOOGLE, US', 'GOOGLE, US', 'GOOGLE, US', 'GOOGLE, US', 'GOOGLE, US', 'GOOGLE, US', 'GOOGLE, US']","['US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US']","['142.251.183.0/24', '142.251.183.0/24', '2607:f8b0:4001::/48', '2607:f8b0:4001::/48', '2607:f8b0:4001::/48', '142.251.183.0/24', '142.251.183.0/24', '2607:f8b0:4001::/48', '142.251.183.0/24', '142.251.183.0/24']",-1.0,https://google.com/contact,legitimate
falkomer.ru,1,1,0,0,0,0,1,4,0,0,0,0,1,300,300,300.0,0.0,-1,-1,1,0.0,0,0,0,0,0,['216246'],"['RU-AEZA-AS, RU']",['RU'],['185.221.199.0/24'],-1.0,http://falkomer.ru/a-r.m-7.Sakura,phishing
linkpop.com,1,1,0,0,0,0,1,3,1,2,0,0,1,60,60,60.0,0.0,-1,-1,1,4.261330694070433,1,0,0,0,0,['396982'],"['GOOGLE-CLOUD-PLATFORM, US']",['US'],['34.8.0.0/13'],-1.0,https://linkpop.com/mail-update,phishing
google.com,1,6,1,4,1,1,1,4,1,12,0,0,1,262,262,262.0,0.0,10,10,10,4.5685196704959425,1,0,0,0,0,"['15169', '15169', '15169', '15169', '15169', '15169', '15169', '15169', '15169', '15169']","['GOOGLE, US', 'GOOGLE, US', 'GOOGLE, US', 'GOOGLE, US', 'GOOGLE, US', 'GOOGLE, US', 'GOOGLE, US', 'GOOGLE, US', 'GOOGLE, US', 'GOOGLE, US']","['US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US']","['142.251.183.0/24', '142.251.183.0/24', '2607:f8b0:4001::/48', '2607:f8b0:4001::/48', '2607:f8b0:4001::/48', '142.251.183.0/24', '142.251.183.0/24', '2607:f8b0:4001::/48', '142.251.183.0/24', '142.251.183.0/24']",-1.0,https://google.com/products,legitimate
