domain,has_A,num_A,has_AAAA,num_AAAA,has_MX,num_MX,has_NS,num_NS,has_TXT,num_TXT,has_CNAME,cname_chain_length,has_SOA,ttl_min,ttl_max,ttl_mean,ttl_var,mx_priority_min,mx_priority_max,num_distinct_ips,txt_entropy,has_SPF,has_DKIM,has_DMARC,has_wildcard_dns,dnssec_enabled,asn_list,asn_org_list,asn_country_list,cidr_list,error_type,url,description,expected_label
chrome-extension,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1.0,-1.0,-1,-1,0,0.0,0,0,0,0,0,[],[],[],[],-1.0,chrome-extension://abcdefghijklmnop/popup.html,Chrome Extension,legitimate
chrome-extension,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1.0,-1.0,-1,-1,0,0.0,0,0,0,0,0,[],[],[],[],-1.0,chrome-extension://xyz123/background.js,Chrome Extension Script,legitimate
www.notion.so,1,2,0,0,0,0,0,0,0,0,0,0,0,169,169,169.0,0.0,-1,-1,2,0.0,0,0,0,0,0,"['33191', '33191']","['NOTION-WEB, US', 'NOTION-WEB, US']","['US', 'US']","['208.103.161.0/24', '208.103.161.0/24']",-1.0,https://www.notion.so/workspace/page,Notion,legitimate
www.figma.com,1,4,0,0,0,0,0,0,1,1,0,0,0,30,30,30.0,0.0,-1,-1,4,4.347985717495782,0,0,0,0,0,"['16509', '16509', '16509', '16509']","['AMAZON-02, US', 'AMAZON-02, US', 'AMAZON-02, US', 'AMAZON-02, US']","['US', 'US', 'US', 'US']","['13.32.241.0/24', '13.32.241.0/24', '13.32.241.0/24', '13.32.241.0/24']",-1.0,https://www.figma.com/file/abc123,Figma,legitimate
app.canva.com,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1.0,-1.0,-1,-1,0,0.0,0,0,0,0,0,[],[],[],[],-1.0,https://app.canva.com/design/xyz,Canva,legitimate
console.aws.amazon.com,1,2,0,0,0,0,0,0,0,0,1,1,0,300,300,300.0,0.0,-1,-1,2,0.0,0,0,0,0,0,"['16509', '16509']","['AMAZON-02, US', 'AMAZON-02, US']","['US', 'US']","['166.117.80.0/20', '166.117.160.0/20']",-1.0,https://console.aws.amazon.com/s3,AWS Console,legitimate
portal.azure.com,1,1,0,0,0,0,0,0,0,0,1,1,0,60,60,60.0,0.0,-1,-1,1,0.0,0,0,0,0,0,['8075'],"['MICROSOFT-CORP-MSN-AS-BLOCK, US']",['US'],['150.171.0.0/16'],-1.0,https://portal.azure.com/resources,Azure Portal,legitimate
www.npmjs.com,1,2,0,0,0,0,0,0,0,0,0,0,0,300,300,300.0,0.0,-1,-1,2,0.0,0,0,0,0,0,"['13335', '13335']","['CLOUDFLARENET, US', 'CLOUDFLARENET, US']","['US', 'US']","['104.17.128.0/20', '104.17.128.0/20']",-1.0,https://www.npmjs.com/package/react,npm Package,legitimate
github.com,1,1,0,0,1,5,1,8,1,19,0,0,1,6,6,6.0,0.0,1,10,1,4.504002060328839,1,0,0,0,0,['36459'],"['GITHUB, US']",['US'],['140.82.114.0/24'],-1.0,https://github.com/facebook/react,GitHub Repo,legitimate
localhost,1,1,0,0,0,0,1,4,0,0,0,0,1,2419200,2419200,2419200.0,0.0,-1,-1,1,0.0,0,0,0,0,0,['NA'],['NA'],['NA'],['NA'],-1.0,http://localhost:3000/api/users,React Dev Server,legitimate
127.0.0.1,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1.0,-1.0,-1,-1,1,0.0,0,0,0,0,0,['NA'],['NA'],['NA'],['NA'],-1.0,http://127.0.0.1:8000/admin,Django Dev,legitimate
s3.amazonaws.com,1,8,0,0,0,0,1,4,1,1,0,0,1,5,5,5.0,0.0,-1,-1,8,3.6556390622295662,0,0,0,1,0,"['16509', '16509', '16509', '16509', '16509', '14618', '16509', '16509']","['AMAZON-02, US', 'AMAZON-02, US', 'AMAZON-02, US', 'AMAZON-02, US', 'AMAZON-02, US', 'AMAZON-AES, US', 'AMAZON-02, US', 'AMAZON-02, US']","['US', 'US', 'US', 'US', 'US', 'US', 'US', 'US']","['52.216.48.0/20', '52.216.48.0/20', '52.217.192.0/19', '52.216.93.0/24', '16.182.64.0/24', '16.15.200.0/21', '54.231.160.0/19', '52.217.112.0/20']",-1.0,https://s3.amazonaws.com/bucket/file?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=KEY&X-Amz-Date=20231201T120000Z&X-Amz-Expires=3600&X-Amz-SignedHeaders=host&X-Amz-Signature=abc123,AWS Presigned URL,legitimate
example.io,0,0,0,0,0,0,1,3,0,0,0,0,1,-1,-1,-1.0,-1.0,-1,-1,0,0.0,0,0,0,0,0,[],[],[],[],-1.0,https://example.io/product,.io TLD,legitimate
mycompany.ai,1,1,0,0,1,1,1,2,1,1,0,0,0,3600,3600,3600.0,0.0,5,5,1,4.240156860408859,1,0,0,1,0,['206834'],"['TEAMINTERNET-CA-AS, DE']",['CA'],['104.247.80.0/22'],-1.0,https://mycompany.ai/platform,.ai TLD,legitimate
devtools.dev,0,0,0,0,0,0,1,4,1,1,0,0,1,-1,-1,-1.0,-1.0,-1,-1,0,4.593711454715077,0,0,1,0,0,[],[],[],[],-1.0,https://devtools.dev/docs,.dev TLD,legitimate
